date,hi_max,hi_max.90perc,total_precipitation,rainy_day
2019-05-01,52,75.56,1.4,0
2019-05-02,76,72.68,4.8,0
2019-05-03,55,75.56,0.1,0
2019-05-04,68,78.8,3.2,0
2019-05-05,56,75.56,34.1,1
2019-05-06,68,75.56,0.4,0
2019-05-07,70,73.4,0.2,0
2019-05-08,65,71.6,0,0
2019-05-09,55,75.2,0.3,0
2019-05-10,73,77.36,3.8,0
2019-05-11,66,80.6,0.5,0
2019-05-12,53,82.4,21.3,0
2019-05-13,49,77.36,12.2,0
2019-05-14,51,71.96,5.5,0
2019-05-15,66,78.8,0,0
2019-05-16,69,78.8,0.7,0
2019-05-17,74,80.96,1.9,0
2019-05-18,70,78.8,0,0
2019-05-19,77,77.36,1,0
2019-05-20,84,79.16,0,0
2019-05-21,70,78.8,0,0
2019-05-22,71,80.6,0.1,0
2019-05-23,71,79.52,1.2,0
2019-05-24,72,80.96,0,0
2019-05-25,68,82.76,0.5,0
2019-05-26,83,82.4,0.9,0
2019-05-27,78,82.4,0,0
2019-05-28,70,82.76,10.8,0
2019-05-29,69,86,2.3,0
2019-05-30,68,86,7,0
2019-05-31,80,86,0,0
2019-06-01,78,86,0,0
2019-06-02,82,84.2,4.2,0
2019-06-03,69,80.96,0,0
2019-06-04,70,80.6,0,0
2019-06-05,82,82.4,3.8,0
2019-06-06,83,80.6,0.2,0
2019-06-07,80,86,0,0
2019-06-08,77,88.16,0,0
2019-06-09,74,87.08,0,0
2019-06-10,71,86.36,18.5,0
2019-06-11,77,86.36,5.4,0
2019-06-12,72,84.56,0,0
2019-06-13,66,84.92,21.4,0
2019-06-14,73,86,0.2,0
2019-06-15,80,88.16,0.5,0
2019-06-16,79,86,3.6,0
2019-06-17,75,84.2,2.7,0
2019-06-18,74,86,22.1,0
2019-06-19,72,86.36,5.2,0
2019-06-20,81,88.16,13.3,0
2019-06-21,77,87.8,6.3,0
2019-06-22,80,86.36,0,0
2019-06-23,82,86.36,0,0
2019-06-24,83,86,0,0
2019-06-25,87,87.8,10,0
2019-06-26,87,88.16,0,0
2019-06-27,88,89.6,0,0
2019-06-28,91,89.6,0,0
2019-06-29,94,87.8,7.1,0
2019-06-30,83,86.72,0.2,0
2019-07-01,85,86.36,0,0
2019-07-02,91,87.8,0.5,0
2019-07-03,90,88.16,0,0
2019-07-04,91,91.76,0,0
2019-07-05,87,89.6,0.1,0
2019-07-06,97,89.96,15.1,0
2019-07-07,85,91.76,2,0
2019-07-08,78,89.96,3.4,0
2019-07-09,87,89.96,0,0
2019-07-10,91,88.16,0,0
2019-07-11,86,89.6,8,0
2019-07-12,90,89.6,0.2,0
2019-07-13,89,89.6,0,0
2019-07-14,90,89.96,0,0
2019-07-15,86,89.6,0,0
2019-07-16,95,91.4,0,0
2019-07-17,101,93.2,8.9,0
2019-07-18,85,93.2,6.6,0
2019-07-19,104,91.4,0,0
2019-07-20,107,89.96,0.1,0
2019-07-21,111,91.4,1.5,0
2019-07-22,95,89.96,39.1,1
2019-07-23,76,88.88,53.3,1
2019-07-24,83,89.96,0.6,0
2019-07-25,84,89.6,0,0
2019-07-26,87,89.6,0,0
2019-07-27,87,89.6,0.3,0
2019-07-28,93,87.8,0,0
2019-07-29,97,89.6,0.7,0
2019-07-30,98,89.6,0.7,0
2019-07-31,91,87.8,18.6,0
2019-08-01,88,89.6,0,0
2019-08-02,85,89.6,0.8,0
2019-08-03,90,89.6,4.8,0
2019-08-04,88,89.6,0,0
2019-08-05,82,89.96,0,0
2019-08-06,82,88.16,3.8,0
2019-08-07,95,89.6,25.5,0
2019-08-08,89,89.96,0,0
2019-08-09,84,89.6,0,0
2019-08-10,81,87.8,0,0
2019-08-11,81,87.8,0,0
2019-08-12,86,89.6,0,0
2019-08-13,78,88.88,3.3,0
2019-08-14,80,91.4,2.4,0
2019-08-15,83,87.8,0,0
2019-08-16,83,88.16,0.7,0
2019-08-17,91,87.8,2.1,0
2019-08-18,96,87.8,6.3,0
2019-08-19,100,86,8.9,0
2019-08-20,91,86,0,0
2019-08-21,93,86.36,7.6,0
2019-08-22,92,84.56,1,0
2019-08-23,73,84.56,4.8,0
2019-08-24,75,84.2,0.1,0
2019-08-25,74,84.56,0.7,0
2019-08-26,72,86.36,0,0
2019-08-27,72,86.36,0.5,0
2019-08-28,75,86.36,6.5,0
2019-08-29,81,86,0,0
2019-08-30,85,86,0,0
2019-08-31,78,86.36,0,0
2019-09-01,75,84.56,0,0
2019-09-02,81,86.36,10.9,0
2019-09-03,81,86,0,0
2019-09-04,92,84.56,0.4,0
2019-09-05,72,82.76,0,0
2019-09-06,66,88.16,8.5,0
2019-09-07,75,84.56,0,0
2019-09-08,76,83.12,0,0
2019-09-09,74,84.2,2.5,0
2019-09-10,76,84.2,0.6,0
2019-09-11,91,84.2,0.1,0
2019-09-12,78,82.4,2.1,0
2019-09-13,68,82.4,0,0
2019-09-14,74,84.2,1.8,0
2019-09-15,80,80.6,0.3,0
2019-09-16,75,80.6,0.4,0
2019-09-17,74,82.4,0,0
2019-09-18,67,80.96,0.1,0
2019-09-19,67,80.6,0,0
2019-09-20,75,80.6,0,0
2019-09-21,80,80.96,0,0
2019-09-22,85,80.96,0,0
2019-09-23,89,80.6,3.2,0
2019-09-24,75,78.8,0,0
2019-09-25,75,79.16,0,0
2019-09-26,78,79.16,0,0
2019-09-27,73,79.16,0,0
2019-09-28,81,75.2,0,0
2019-09-29,76,75.2,0,0
2019-09-30,67,73.76,0,0
